"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-F4897C134804705DA1E9","CAMP-87586F06FC09FBEB","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-A2BC951C0892BC39B732","CAMP-87586F06FC09FBEB","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-CC464B67A865AE663BFF","CAMP-87586F06FC09FBEB","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-051EB7F582946364B90D","CAMP-87586F06FC09FBEB","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-3E6E1880387C3098B3C6","CAMP-87586F06FC09FBEB","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-1754E4999C0AE2731EE9","CAMP-87586F06FC09FBEB","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-EC356C277A9461BEF7DB","CAMP-87586F06FC09FBEB","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-B0B9A906F17E3217E599","CAMP-87586F06FC09FBEB","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-4F4CF715F3637998AE2B","CAMP-87586F06FC09FBEB","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-ABB93E964C976AE2BDEB","CAMP-87586F06FC09FBEB","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-0F051E8EAD98F08F2DCC","CAMP-87586F06FC09FBEB","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-9B939DA6306819A11348","CAMP-87586F06FC09FBEB","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-EAABEFFFB25CF7E05E9E","CAMP-87586F06FC09FBEB","CUST06048","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-CE8E96270D54F94CCFA0","CAMP-87586F06FC09FBEB","CUST06049","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-87F932A4B55B96B21628","CAMP-87586F06FC09FBEB","CUST06062","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-B4088B5B1F0D9C97067B","CAMP-87586F06FC09FBEB","CUST06064","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-DBFE078C3649A1DA2979","CAMP-87586F06FC09FBEB","CUST06068","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-EFE3158F08DF8F6200CF","CAMP-87586F06FC09FBEB","CUST06041","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-C44B5D3EBF8559E06F99","CAMP-87586F06FC09FBEB","CUST06069","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-3951CB0719C90BE4B8AB","CAMP-87586F06FC09FBEB","CUST05979","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-76439C9C53B4B1061157","CAMP-87586F06FC09FBEB","CUST05972","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-87372FBC6CE41D7C9BBB","CAMP-87586F06FC09FBEB","CUST05901","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-85BF72A0CB8D0752D2DE","CAMP-87586F06FC09FBEB","CUST05905","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-B86C98DA66A7623D4C7A","CAMP-87586F06FC09FBEB","CUST05908","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-A26ADA9B6B8A8DEF73E9","CAMP-87586F06FC09FBEB","CUST05909","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-42EDF7EFF87655C803F5","CAMP-87586F06FC09FBEB","CUST05925","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-4E8DB93DB95414ADF1FE","CAMP-87586F06FC09FBEB","CUST05929","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-4F8AF5F2550295C6B876","CAMP-87586F06FC09FBEB","CUST05930","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-156CF5D28F6780F9A94F","CAMP-87586F06FC09FBEB","CUST05974","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-A13B5BF91FC7F492A872","CAMP-87586F06FC09FBEB","CUST05931","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-494C9551211E772A482E","CAMP-87586F06FC09FBEB","CUST05936","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-6F5F53AE06559CED12D4","CAMP-87586F06FC09FBEB","CUST05939","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-E15AA20254771EB5308D","CAMP-87586F06FC09FBEB","CUST05942","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-715F0134623068BE4027","CAMP-87586F06FC09FBEB","CUST05944","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-7B70A7829136C91A7CB5","CAMP-87586F06FC09FBEB","CUST05945","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-34190EC3397A5AB359BE","CAMP-87586F06FC09FBEB","CUST05953","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-10666EF1A690BBA488E6","CAMP-87586F06FC09FBEB","CUST05964","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-1C53BB5EA0013CFF2C2F","CAMP-87586F06FC09FBEB","CUST05935","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-3A734BAE0AD40D9D7A92","CAMP-87586F06FC09FBEB","CUST06071","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-0230CB5283E5FA79627B","CAMP-87586F06FC09FBEB","CUST06076","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-A24A46CCB4F5015ABCCE","CAMP-87586F06FC09FBEB","CUST06078","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-C00A831868AA549AEC94","CAMP-87586F06FC09FBEB","CUST06192","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-FDA1986B73D651F4B8DB","CAMP-87586F06FC09FBEB","CUST06198","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-5B92B7A0E6D6166017C7","CAMP-87586F06FC09FBEB","CUST06206","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-D56A3882DD103ECDB0E3","CAMP-87586F06FC09FBEB","CUST06209","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-8A8CFFB275E26722A66F","CAMP-87586F06FC09FBEB","CUST06215","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-96AA4F4870E40440805A","CAMP-87586F06FC09FBEB","CUST06222","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-1DAA1436F00E30BA4CE5","CAMP-87586F06FC09FBEB","CUST06225","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-3503929A5F43A1E69982","CAMP-87586F06FC09FBEB","CUST06191","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-D7A3557037E771155DF2","CAMP-87586F06FC09FBEB","CUST06243","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-CC8F3ABF32282F494E15","CAMP-87586F06FC09FBEB","CUST06253","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-DA70C1A50E7E39427DBC","CAMP-87586F06FC09FBEB","CUST06255","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-6C52E1312FBC7A1637CE","CAMP-87586F06FC09FBEB","CUST06258","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-1687079F8AF8A24E4E08","CAMP-87586F06FC09FBEB","CUST06259","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-8A27A36AC28331D1E20F","CAMP-87586F06FC09FBEB","CUST06270","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-F92BD2985C504D10CDD2","CAMP-87586F06FC09FBEB","CUST06276","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-7E5A17EE9973640BC89D","CAMP-87586F06FC09FBEB","CUST06277","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-6F7644C914F473AE8F9A","CAMP-87586F06FC09FBEB","CUST06244","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-6EDAB016AF8C085E6C04","CAMP-87586F06FC09FBEB","CUST06185","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-BA975BCC077E13CFA854","CAMP-87586F06FC09FBEB","CUST06179","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-A4D850A3599AF8AE2AF5","CAMP-87586F06FC09FBEB","CUST06165","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-F5E4D02EB42DBA0C5AA2","CAMP-87586F06FC09FBEB","CUST06080","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-17D7F8C905DCEF3DA69F","CAMP-87586F06FC09FBEB","CUST06083","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-4A6EEE0C891146730C96","CAMP-87586F06FC09FBEB","CUST06097","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-86EBB6F7F14F21EEAD12","CAMP-87586F06FC09FBEB","CUST06098","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-687F1B2CF63195327967","CAMP-87586F06FC09FBEB","CUST06102","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-F8D9987963B5DC047D1F","CAMP-87586F06FC09FBEB","CUST06104","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-75CD2F92C52CACB659C3","CAMP-87586F06FC09FBEB","CUST06109","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-7C4E9BD466DF22259DA4","CAMP-87586F06FC09FBEB","CUST06110","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-4A48B5E3B2B1CC0F2F55","CAMP-87586F06FC09FBEB","CUST06112","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-1989B139CFC4D37654BC","CAMP-87586F06FC09FBEB","CUST06119","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-37370063CFC75757AA0C","CAMP-87586F06FC09FBEB","CUST06123","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-9F7B6A3E01982722F4B0","CAMP-87586F06FC09FBEB","CUST06135","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-F006545525AEA405F51E","CAMP-87586F06FC09FBEB","CUST06142","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-83538A9DC05195D700AC","CAMP-87586F06FC09FBEB","CUST06149","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-49F10EDA61FFC13BD4BC","CAMP-87586F06FC09FBEB","CUST06154","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-DE61F61DC743832FBC06","CAMP-87586F06FC09FBEB","CUST06159","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-95F09B0BF885C0430BA7","CAMP-87586F06FC09FBEB","CUST06164","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-EFE95A1645834A9410E9","CAMP-87586F06FC09FBEB","CUST05899","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-1BC910E78554EAE264DA","CAMP-87586F06FC09FBEB","CUST06289","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-6903A917FAB237DCBEFD","CAMP-87586F06FC09FBEB","CUST05892","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-5F2E0172F96ADC2A63CA","CAMP-87586F06FC09FBEB","CUST05888","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-61D207CC34E9DE6AEB14","CAMP-87586F06FC09FBEB","CUST05689","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-A557A67F2EB93A395AFF","CAMP-87586F06FC09FBEB","CUST05691","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-E06709DCF2B54FF2A725","CAMP-87586F06FC09FBEB","CUST05694","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-25F6A67A7D076A15AD4E","CAMP-87586F06FC09FBEB","CUST05702","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-2B30A204AE0B8D047FE2","CAMP-87586F06FC09FBEB","CUST05704","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
"COMM-964F8CCFAFA7D1679E44","CAMP-87586F06FC09FBEB","CUST05705","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T19:09:57Z"
